year,month,point,avg_speed_kn,avg_direction,avg_temp_c,avg_salinity,max_speed_kn,days
2024,1,北,0.164,146.197,17.964,34.436,0.406,31
2024,1,南,0.195,193.729,19.055,34.63,0.634,31
2024,1,東,0.208,156.316,19.012,34.646,0.538,31
2024,1,西,0.255,175.248,18.414,34.524,0.645,31
2024,2,中心,0.449,207.917,16.744,34.503,1.562,29
2024,2,北,0.378,209.662,16.492,34.463,0.904,29
2024,2,南,0.472,193.428,16.999,34.542,1.188,29
2024,2,東,0.348,221.145,17.072,34.563,1.146,29
2024,2,西,0.515,207.955,16.764,34.501,1.579,29
2024,3,中心,1.071,78.41,18.569,34.615,1.669,31
2024,3,北,0.442,82.419,17.744,34.566,0.77,31
2024,3,南,0.975,102.865,19.057,34.613,1.592,31
2024,3,東,0.632,113.623,17.998,34.58,1.201,31
2024,3,西,1.469,79.381,18.921,34.616,2.124,31
2024,4,中心,0.488,156.64,18.705,34.346,1.095,30
2024,4,北,0.408,163.927,18.545,34.289,1.086,30
2024,4,南,0.383,175.13,18.74,34.361,1.021,30
2024,4,東,0.291,188.627,18.598,34.386,0.617,30
2024,4,西,0.642,164.167,18.735,34.299,1.567,30
2024,5,中心,0.204,191.461,20.407,34.251,0.397,31
2024,5,北,0.177,179.077,20.373,34.219,0.39,31
2024,5,南,0.229,228.0,20.366,34.273,0.439,31
2024,5,東,0.297,225.213,20.377,34.242,0.525,31
2024,5,西,0.231,198.984,20.389,34.224,0.443,31
2024,6,中心,0.473,216.533,22.663,33.564,0.898,30
2024,6,北,0.38,208.213,22.565,33.365,0.799,30
2024,6,南,0.431,235.717,22.84,33.81,0.825,30
2024,6,東,0.333,212.453,22.876,33.94,0.663,30
2024,6,西,0.583,238.0,22.629,33.472,1.035,30
2024,7,中心,0.501,166.781,25.777,31.562,0.94,31
2024,7,北,0.463,186.855,25.628,31.364,0.862,31
2024,7,南,0.526,149.8,26.285,32.013,2.463,31
2024,7,東,0.382,147.481,26.225,31.966,0.93,31
2024,7,西,0.559,187.584,25.779,31.664,1.113,31
2024,8,中心,0.888,131.035,29.41,32.379,2.927,31
2024,8,北,0.31,187.777,28.867,31.355,0.738,31
2024,8,南,1.055,118.226,29.936,33.009,2.738,31
2024,8,東,0.718,139.261,29.373,32.431,1.867,31
2024,8,西,1.207,132.687,29.529,32.532,2.906,31
2024,9,中心,0.299,208.197,28.637,32.841,0.808,30
2024,9,北,0.261,220.1,28.554,32.789,0.716,30
2024,9,南,0.283,201.517,28.724,32.843,0.702,30
2024,9,東,0.249,197.463,28.681,32.879,0.638,30
2024,9,西,0.366,207.557,28.706,32.786,1.097,30
2024,10,中心,0.789,222.165,25.633,33.412,1.136,31
2024,10,北,0.666,216.81,25.638,33.289,0.882,31
2024,10,南,0.687,237.671,25.606,33.477,1.041,31
2024,10,東,0.542,235.916,25.637,33.517,0.895,31
2024,10,西,0.961,242.871,25.631,33.331,1.263,31
2024,11,中心,0.324,166.617,23.67,33.81,0.75,30
2024,11,北,0.288,155.657,23.594,33.784,0.758,30
2024,11,南,0.284,184.633,23.688,33.841,0.681,30
2024,11,東,0.312,202.307,23.722,33.94,0.641,30
2024,11,西,0.354,166.887,23.67,33.776,0.853,30
2024,12,中心,0.311,193.058,20.764,34.307,0.883,31
2024,12,北,0.252,182.761,20.584,34.257,0.729,31
2024,12,南,0.341,195.248,20.898,34.341,0.838,31
2024,12,東,0.259,197.458,20.999,34.366,0.641,31
2024,12,西,0.369,203.984,20.762,34.305,1.207,31
2025,1,中心,0.249,204.61,18.261,34.475,0.508,31
2025,1,北,0.266,198.126,17.876,34.39,0.647,31
2025,1,南,0.278,233.468,19.042,34.634,0.548,31
2025,1,東,0.183,186.723,19.097,34.631,0.43,31
2025,1,西,0.312,220.726,17.99,34.424,0.74,31
2025,2,中心,0.185,180.318,16.967,34.651,0.43,28
2025,2,北,0.201,141.107,16.917,34.65,0.404,28
2025,2,南,0.255,204.686,17.05,34.659,0.46,28
2025,2,東,0.204,199.221,17.362,34.683,0.36,28
2025,2,西,0.262,144.871,16.757,34.632,0.404,28
2025,3,中心,0.618,157.252,17.52,34.611,1.172,31
2025,3,北,0.452,157.445,17.164,34.564,1.08,31
2025,3,南,0.529,166.458,17.834,34.645,0.928,31
2025,3,東,0.454,169.955,17.904,34.67,0.946,31
2025,3,西,0.734,171.229,17.457,34.606,1.435,31
2025,4,中心,0.52,161.367,18.552,34.6,0.889,30
2025,4,北,0.409,142.92,18.375,34.579,0.812,30
2025,4,南,0.621,256.327,18.704,34.631,1.213,30
2025,4,東,0.374,234.153,18.722,34.626,0.712,30
2025,4,西,0.725,166.197,18.461,34.589,1.344,30
2025,5,中心,0.393,167.426,20.941,34.342,2.205,31
2025,5,北,0.236,159.139,20.646,34.311,1.016,31
2025,5,南,0.461,147.645,21.236,34.353,2.05,31
2025,5,東,0.372,174.013,21.09,34.37,1.714,31
2025,5,西,0.466,174.774,20.901,34.307,2.081,31
2025,6,中心,1.106,68.157,25.041,33.703,2.098,30
2025,6,北,0.431,80.33,24.325,33.334,1.125,30
2025,6,南,1.844,64.287,25.47,33.941,2.44,30
2025,6,東,1.656,71.593,25.363,33.868,2.531,30
2025,6,西,0.983,86.073,24.971,33.671,1.898,30
2025,7,中心,1.214,62.69,28.486,33.7,3.139,31
2025,7,北,0.421,93.006,28.214,33.532,1.248,31
2025,7,南,1.363,71.361,28.641,33.821,2.368,31
2025,7,東,1.429,63.19,28.583,33.78,3.004,31
2025,7,西,1.422,72.106,28.471,33.675,3.422,31
2025,8,中心,0.97,67.442,28.892,33.766,2.681,31
2025,8,北,0.512,75.139,28.418,33.831,1.952,31
2025,8,南,0.67,79.997,28.9,33.842,1.605,31
2025,8,東,0.659,70.348,28.841,33.851,1.459,31
2025,8,西,1.11,73.032,28.982,33.73,2.649,31
2025,9,中心,2.177,62.003,28.803,33.432,4.03,30
2025,9,北,0.929,69.49,28.095,33.427,2.156,30
2025,9,南,2.034,70.12,29.007,33.489,3.411,30
2025,9,東,1.801,77.417,28.908,33.465,3.024,30
2025,9,西,2.114,58.577,28.745,33.418,3.522,30
2025,10,中心,1.7,59.826,27.395,33.618,3.609,31
2025,10,北,0.684,60.387,26.837,33.523,1.927,31
2025,10,南,2.259,63.468,27.915,33.648,3.009,31
2025,10,東,1.976,69.958,27.768,33.647,3.157,31
2025,10,西,1.614,54.423,27.256,33.612,3.485,31
2025,11,中心,0.651,92.907,24.488,34.051,1.811,30
2025,11,北,0.245,127.627,24.532,34.09,0.665,30
2025,11,南,1.331,62.0,24.65,34.045,2.392,30
2025,11,東,1.191,71.437,24.663,34.051,2.362,30
2025,11,西,0.682,146.22,24.425,34.045,1.942,30
2025,12,中心,0.527,80.006,21.079,34.306,0.943,31
2025,12,北,0.132,126.474,20.646,34.247,0.324,31
2025,12,南,1.49,69.068,21.472,34.309,1.984,31
2025,12,東,1.243,74.91,21.411,34.321,1.842,31
2025,12,西,0.439,84.903,20.995,34.3,1.042,31
